X,Y,Z,TYPE,STREET1,STREET2,STREET3,STREET4,INTERSECTI,GID
429664.125,5451242.523,0,DEADEND,"1026",,,,"8457","61219"
429598.312,5451151.127,0,NORMAL,"572","1026",,,"8456","61220"
429426.543,5451181.816,0,NORMAL,"625","958",,,"8452","61221"
429484.788,5451091.718,0,NORMAL,"1026","625",,,"8451","61222"
429210.214,5451047.068,0,NORMAL,"1026","675",,,"8446","61225"
429444.671,5451009.154,0,NORMAL,"1026","450",,,"8445","61226"
427069.734,5450479.641,0,TRAFFIC LIGHT,"611","136",,,"8085","60969"
426830.175,5450482.864,0,NORMAL,"611","526",,,"8084","60970"
426248.051,5450885.985,0,DEADEND,"5",,,,"8082","60972"
426370.997,5450808.573,0,NORMAL,"6","569",,,"8081","60973"
426773.13,5450605.84,0,DEADEND,"526",,,,"8080","60974"
426597.204,5451453.298,0,DEADEND,"1014",,,,"8079","60975"
427327.198,5451408.166,0,NORMAL,"1154","742",,,"8078","60976"
427367.03,5451175.656,0,NORMAL,"333","1154",,,"8077","60977"
427378.284,5451038.262,0,NORMAL,"300","285",,,"8076","60978"
427379.81,5450950.31,0,NORMAL,"285","721",,,"8075","60979"
427323.528,5450856.043,0,DEADEND,"485",,,,"8074","60980"
427342.006,5450825.511,0,NORMAL,"485","344",,,"8073","60981"
427226.062,5450789.918,0,NORMAL,"344","721",,,"8072","60982"
427223.464,5451120.672,0,NORMAL,"333","742",,,"8071","60983"
427110.879,5451588.411,0,NORMAL,"393","574",,,"8070","60984"
427118.128,5451485.12,0,NORMAL,"967","338",,,"8069","60985"
426976.627,5451484.411,0,NORMAL,"967","393","313",,"8068","60986"
427146.012,5450790.966,0,NORMAL,"344","300",,,"8066","60988"
427170.901,5450952.236,0,NORMAL,"300","1188",,,"8064","60990"
427096.155,5451008.141,0,NORMAL,"333","1188",,,"8063","60991"
427072.467,5450980.634,0,NORMAL,"333","69",,,"8062","60992"
426806.539,5450986.386,0,NORMAL,"821","69",,,"8060","60994"
426906.512,5451112.953,0,NORMAL,"69","633",,,"8059","60995"
426839.146,5451168.893,0,NORMAL,"633","962",,,"8058","60996"
426711.354,5451151.527,0,DEADEND,"989",,,,"8057","60997"
426684.43,5451232.41,0,DEADEND,"7",,,,"8056","60998"
426661.017,5451169.864,0,NORMAL,"989","7",,,"8055","60999"
426539.66,5450837.298,0,NORMAL,"7","1168",,,"8054","61000"
426595.001,5450990.634,0,NORMAL,"7","35",,,"8046","61003"
426623.356,5451065.091,0,NORMAL,"7","821",,,"8045","61004"
426487.669,5451112.523,0,NORMAL,"821","6",,,"8044","61005"
426458.833,5451036.266,0,NORMAL,"6","35",,,"8043","61006"
426430.056,5450962.681,0,NORMAL,"6","1201",,,"8042","61007"
426403.638,5450886.973,0,NORMAL,"1168","6",,,"8041","61008"
426268.78,5450937.558,0,NORMAL,"1168","5",,,"8040","61009"
426296.813,5451010.647,0,NORMAL,"5","1201",,,"8039","61010"
426251.899,5451107.944,0,NORMAL,"4","35",,,"8038","61011"
426286.723,5451156.158,0,NORMAL,"821","4",,,"8037","61012"
426349.299,5451159.562,0,NORMAL,"821","5",,,"8036","61013"
426322.049,5451085.901,0,NORMAL,"35","5",,,"8035","61014"
426067.917,5451242.216,0,DEADEND,"35",,,,"8033","61016"
426170.89,5446640.99,0,DEADEND,"1209",,,,"7477","59986"
426227.824,5446639.439,0,NORMAL,"1209","941",,,"7476","59987"
426417.577,5446687.415,0,NORMAL,"746","1209",,,"7475","59988"
428095.85,5446292.75,0,DEADEND,"1250",,,,"7421","60037"
426244.603,5446879.99,0,DEADEND,"548",,,,"7474","59989"
426392.913,5446880.063,0,NORMAL,"746","50","548",,"7471","59991"
426477.699,5446870.965,0,NORMAL,"1214","50",,,"7470","59992"
426473.602,5446745.883,0,DEADEND,"1214",,,,"7469","59993"
426552.38,5446731.36,0,DEADEND,"1128",,,,"7468","59994"
426671.22,5446653.62,0,DEADEND,"1128",,,,"7467","59995"
426616.495,5446689.462,0,NORMAL,"772","1128",,,"7466","59996"
426688.61,5446794.089,0,NORMAL,"852","772",,,"7465","59997"
426835.874,5446706.149,0,NORMAL,"852","99",,,"7464","59998"
427084.426,5446632.472,0,DEADEND,"852",,,,"7463","59999"
426982.018,5446532.386,0,DEADEND,"440",,,,"7462","60000"
426980.103,5446468.82,0,NORMAL,"36","440",,,"7461","60001"
427012.779,5446467.089,0,NORMAL,"36","1153",,,"7460","60002"
427086.709,5446464.84,0,NORMAL,"36","1153",,,"7457","60005"
427255.279,5446462.331,0,NORMAL,"36","1150",,,"7456","60006"
427210.387,5446743.49,0,NORMAL,"797","1150",,,"7455","60007"
427216.454,5446863.593,0,NORMAL,"50","1150",,,"7454","60008"
427303.958,5447246.469,0,DEADEND,"346",,,,"7450","60012"
427882.977,5446838.595,0,NORMAL,"1215","224",,,"7449","60013"
427794.126,5446854.828,0,DEADEND,"224",,,,"7448","60014"
427713.249,5446880.589,0,DEADEND,"346",,,,"7447","60015"
427510.213,5447033.674,0,NORMAL,"346","1173",,,"7446","60016"
427469.367,5446953.032,0,NORMAL,"585","1173",,,"7445","60017"
427455.608,5446858.326,0,NORMAL,"50","322",,,"7443","60019"
427341.43,5446627.71,0,DEADEND,"322",,,,"7442","60020"
427385.613,5446646.977,0,NORMAL,"322","797",,,"7441","60021"
427358.004,5446516.152,0,DEADEND,"215",,,,"7440","60022"
427830.518,5446532.045,0,DEADEND,"445",,,,"7437","60024"
427760.893,5446453.577,0,DEADEND,"36",,,,"7436","60025"
427762.998,5446198.137,0,NORMAL,"1253","522",,,"7434","60026"
427563.564,5446058.222,0,DEADEND,"278",,,,"7433","60027"
427768.14,5446056.959,0,NORMAL,"278","522",,,"7432","60028"
427948.977,5446054.012,0,NORMAL,"1196","278",,,"7431","60029"
428057.73,5446100.771,0,DEADEND,"162",,,,"7430","60030"
427862.339,5446146.573,0,DEADEND,"1185",,,,"7425","60035"
427763.961,5446354.204,0,NORMAL,"1250","522",,,"7422","60036"
